fingerprint,yield
4P///wAIAAAEAAAAoOUGWQTpAI0K,0
4P///wAIAAAGAAAAKQhNAhDyBLEKuQA=,0
4P///wAIAAADAAAAKQhxAqUMuQA=,0
4P///wAIAAAEAAAAoGkDeQFZBHkN,0
4P///wAIAAAEAAAArQR5AWUJsQW5AA==,0
4P///wAIAAAFAAAArQR5AVkECQOxBbkA,0
4P///wAIAAADAAAAKQgRAZyFDw==,0
4P///wAIAAAFAAAAtQJxAwo1AgkAeQ0=,0
4P///wAIAAAFAAAAKQhxAP7xBLEFuQA=,0.11
4P///wAIAAAFAAAA6QPxAqUDCQOxBbkA,0
4P///wAIAAAEAAAA6QONBgkACQNtCA==,0
4P///wAIAAAFAAAAKQhxAvIJA7EFuQA=,0
4P///wAIAAAEAAAAKQhxAvEEsQW5AA==,0
4P///wAIAAACAAAA6QNZFbkA,0
4P///wAIAAACAAAAhQ68/Qs=,0
4P///wAIAAAKAAAAApxxAXEDWN7sEPEEsQW5AA==,0.45
4P///wAIAAAKAAAAtQKYPQIw6QEQ8nAlArEFuQA=,0
4P///wAIAAALAAAAoKUCYHkBWN7lAXBKjQGxBbkA,0
4P///wAIAAAJAAAAoGkDeQFxAE0BSgkDsQVs7g==,0
4P///wAIAAAJAAAAAiEIcQBOQr0A4kEBsQW5AA==,0.05
4P///wAIAAALAAAAoHEBmD0CMCbe7BDxBLEFuQA=,0.95
4P///wAIAAALAAAAoHEBmD0CMOkBEPLiQQGxBbkA,0
4P///wAIAAAKAAAAoKUCPQIw6QEQ8uJBAbEFuQA=,0.12
4P///wAIAAADAAAAKQhxAK0DsQs=,0
4P///wAIAAAGAAAAKQhxAGEDJEEBsQW5AA==,0
4P///wAIAAAGAAAAKQhxAOUBvI0BsQW5AA==,0
4P///wAIAAAHAAAAKQhxAJK9ALyNAbEFuQA=,0
4P///wAIAAAFAAAAKQhxAK0DQQGxBbkA,0
4P///wAIAAAGAAAAKQhY3q0DQQGxBbkA,0
4P///wAIAAAHAAAAoOUGWN6tA0EBsQW5AA==,0
